Tipo de domicilio,Tipo de vialidad,Nombre de vialidad,Número exterior,Número interior,Tipo de asentamiento humano,Nombre del asentamiento humano,Código Postal,Nombre de la localidad,Nombre del Municipio o Delegación,Nombre del Estado o el Distrito Federal,Vialidad posterior (opcional),Descripción de ubicación (opcional),Latitud,Longitud,Horario de atención inicio,Horario de atención término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de recepción inicio,Horario de recepción término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de entrega inicio,Horario de término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Todos los trámites
UMF   225 TOLUCA,Calle,José María Pino Suárez Instituto Literario,S/N,,,Col. San Sebastián ,50090,Toluca, Edo. de Méx. Poniente, Edo. México Poniente,,,19.2926509,-99.6487518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       4 JOJUTLA,Calle,Josefa O. de Domínguez ,S/N,,,Centro,,,,Morelos,,,19.4107621,-98.0481023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       222 TOLUCA,Calle,Josefa Ortíz de Domínguez ,S/N,,,Col. Santa Clara ,50000,Toluca, Edo. de Méx. Poniente, Edo. México Poniente,,,19.2883111,-99.6471882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      19 MEZCALES,Calle,Josefa Ortiz de Domínguez -Carr.,S/N,,,Col.  ,,Mexcales, Nayarit,Nayarit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 27 SAN JOSÉ DEL VALLE,Calle,Josefa Ortiz de Domínguez -Carr.,S/N,,,Col.  ,,Mexcales, Nayarit,Nayarit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      21 VICTOR ROSALES,Calle,Juan Aldama ,S/N,,,Col.  ,99000,Calera de Víctor Rosales, Zacatecas, Zacatecas,,,23.1709291,-102.8621858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   50 LERDO TEJADA,Calle,Juan de la Luz Enríquez,S/N,,,Col. Centro ,95280,Lerdo de Tejada Norte, Veracruz Norte, Veracruz Norte,,,18.641889,-95.5342924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      43 ALTOTONGA,Calle,Juan de la Luz Enríquez ,S/N,,,,93620,Altotonga Norte, Veracruz Norte, Veracruz Norte,,,20.1878547,-96.8699481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     51 ACAYUCAN,Calle,Juan de la Luz Enríquez  ,S/N,,,Col.  ,96000,Acayucan Sur, Veracruz Sur, Veracruz Sur,,,17.9484429,-94.9158032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      12 AUTAN,Calle,Juan Escutia ,S/N,,,Col.  ,63750,San Blas, Nayarit,Nayarit,,,21.5426402,-105.2763889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  244 TOLUCA,Calle,Juan Gutenberg ,127,,,Col. Ferrocarriles ,50070,Toluca, Edo. de Méx. Poniente, Edo. México Poniente,,,19.287867,-99.646761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      38 MONTERREY,Calle,Juan I. Ramón ,S/N,,,Col.  ,64000,Monterrey, Nuevo León,Nuevo León,,,25.5781921,-100.2487519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 8 CASTAÑOS,Calle,Juárez,S/N,,,Col. Zona Centro ,25870,Castaños, Coahuila,Coahuila,,,26.7837604,-101.425314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  20 CEBALLOS,Calle,Juárez,S/N,,,,34318,Mapimí, Durango,Durango,,,31.7388497,-106.4830782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   8 SALVATIERRA,Calle,Juárez,S/N,,,Col. Centro ,38900,Salvatierra, Guanajuato,Guanajuato,,,32.5082028,-117.0399777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       5 XICOTENCATL,Calle,Juárez,S/N,,,Col. Anáhuac Número 2 ,89750,Xicotencatl, Tamaulipas,Tamaulipas,,,22.9977926,-98.9433122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      35 NANACAMILPA,Calle,Juárez,1,,,,90280,Nanacamilpa de M. Arista,Tlaxcala,Tlaxcala,,,19.3181521,-98.2375146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF 19 COSOLAPA,Calle,Juárez,S/N,,,Col.  ,94050,Cosolapa,Veracruz Sur, Veracruz Sur,,,19.2108072,-96.9617379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  41 TARIMORO,Calle,Juárez ,57,,,Col. Centro ,38700,Tarimoro, Guanajuato,Guanajuato,,,20.2886111,-100.7580556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  128 ACATIC,Calle,Juárez ,239,,,Col. Centro ,45470,Acatic, Jalisco,Jalisco,,,20.7714641,-102.908807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   16 TECALITLAN,Calle,Juárez ,258,,,Col. Centro ,49900,Tecalitlán, Jalisco,Jalisco,,,19.6863498,-103.4623139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  63 SAN GABRIEL,Calle,Juárez ,67,,,Col. Centro ,49700,Venustiano Carranza, Jalisco,Jalisco,,,20.6848966,-101.3501576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  75 TECOLOTLAN,Calle,Juárez ,496,,,Col. Centro ,48540,Tecolotlan, Jalisco,Jalisco,,,20.2006949,-104.0451326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      17 AHUACATLAN,Calle,Juárez ,14,,,Col.  ,63900,Ahuacatlán, Nayarit,Nayarit,,,21.0532704,-104.4804877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH       14 CADEREYTA,Calle,Juárez ,S/N,,,Col.  ,67450,Cadereyta de Jiménez, Nuevo León,Nuevo León,,,31.7388497,-106.4830782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      43 CEDRAL,Calle,Juárez ,33,,,Col.  ,78520,Cedral, San Luis Potosí,San Luis Potosí,,,23.8236682,-100.7309973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   7 HUATABAMPO,Calle,Juárez ,S/N,,,Col. Huatabampo ,85900,Huatabampo, Sonora,Sonora,,,26.8274088,-109.6436579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      28 VILLA LLERA,Calle,Juárez ,S/N,,,Col. Zona Centro ,87200,Llera, Tamaulipas,Tamaulipas,,,23.0068031,-99.0800004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      17 COATEPEC,Calle,Juárez ,76,,,Col. Centro ,91580,Coatepec Norte, Veracruz Norte, Veracruz Norte,,,19.4510741,-96.9571813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      18 TUZAMAPAN,Calle,Juárez ,61,,,,91610,Tuzamapan Norte, Veracruz Norte, Veracruz Norte,,,19.4531616,-96.9584922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      57 JALTIPAN,Calle,Juárez ,S/N,,,Col.  ,96200,Jáltipan de Morelos Sur, Veracruz Sur, Veracruz Sur,,,17.9603509,-94.7063158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  12  ALLENDE,Calle,Juárez Norte ,807,,,Col. Zona Centro ,26530,Allende, Coahuila,Coahuila,,,18.4524629,-97.4165937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      79 MATAMOROS,Calle,Juárez y Ocampo ,800,,,Col. Zona Centro ,87300,H. Matamoros, Tamaulipas,Tamaulipas,,,25.8813904,-97.5084436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   32 MINATITLAN,Calle,Justino Sierra ,31,,,Col.  ,96700,Minatitlán Sur, Veracruz Sur, Veracruz Sur,,,17.9868199,-94.5478116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 56 ACATLAN,Calle,Justo Sierra ,S/N,,,Col. Centro ,45700,Acatlán de Juárez, Jalisco,Jalisco,,,20.4151196,-103.5933861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      24 YECAPIXTLA,Carretera,Kilómetro 12 Carretera. Yecapixtla-Agua Hedionda ,S/N,,,Carretera Yecapixtla-Agua Hedionda,,,,Morelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF181 LOS SABINOS,Carretera,Kilometro 7 Carretera a la Capilla el Rodeo,S/N,,,Col. Los Sabinos,,,,Jalisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      190 HUIXQUILUCAN,Carretera,Km. 14.5 Carretera Naucalpan - Huixquilucan,S/N,,,Col. Ejido San Cristóbal,52760,Huixquilucan, Edo. de Méx. Poniente, Edo. México Poniente,,,19.4003256,-99.3266595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH    24 IZUCAR  DE MATAMOROS,Carretera,Km. 175 Carretera México - Suchiate Izúcar de Matamoros,S/N,,,Carretera México- Suchiate Izúcar de Matamoros,74400,Izúcar de Matamoros, Puebla,Puebla,,,18.6,-98.4666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH       26 ATENCINGO,Carretera,Km. 18.5 Carretera Matamoros - Atencingo,S/N,,,Carretera Matamoros- Atencingo,74583,Atencingo, Puebla,Puebla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      68 TULPETLAC,Carretera,Km. 19.5 Ant. Carr. A Pachuca. Vía Morelos,S/N,,,Col. Santamaría,,,, Edo. México Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       236 EL ORO,Carretera,km. 23.5 Carretera Toluca - Ixtapan de la Sal,S/N,,,Col. Tenango del Valle ,52300,Tenango del Valle, Edo. de Méx. Poniente, Edo. México Poniente,,,19.6365352,-99.2163639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       242 TENANGO,Carretera,Km. 26 Carr. Ixtapan de la Sal  ,S/N,,,,,Edo. de Mex. Poniente,Edo. de Méx. Poniente, Edo. México Poniente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      59 LECHERIA,Carretera,Km. 32.5 Autopista México-Querétaro,S/N,,,,,,, Edo. México Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH       28 CALIPAN,Carretera,Km. 32.5 Carretera Tehuacán - Teotitlán,S/N,,,Carretera Tehuacán- Teotitlán,75985,"Calipam, Coxcatlán",Puebla,Puebla,,,18.2642719,-97.152333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH    29 SAN JOSE TILAPA,Carretera,Km. 55 Carretera Tehuacán-Teotitlán,S/N,,,San José Tilapa,75981,"San José Tilapa, Coxcatlán",Puebla,Puebla,,,18.2642719,-97.152333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      58 TEOTITLAN,Carretera,Km. 63 Carretera Tehuacán - Teotitlán,S/N,,,Col.  ,68540,Teotitlán de Flores Magán, Oaxaca,Oaxaca,,,18.1276877,-97.0758438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      14 AMATLAN,Carretera,Km. 8 Barrio Kimpa,km. 8,,,Col.  ,94950,Amatlán de los Reyes Sur, Veracruz Sur, Veracruz Sur,,,18.85,-96.9147222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       3 CORA,Carretera,Km. 8 Carretera Cora-Villa Hidalgo,S/N,,,Col.  ,63778,Santiago Ixc., Nayarit,Nayarit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF 15 TAMAZULA,Carretera,Km. 93 Carretera Jiquilpan-Manzanillo,S/N,,,Col. Centro ,49650,Tamazula, Jalisco,Jalisco,,,19.6901236,-103.2403779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      16 LA PEÑITA,Carretera,Km. Carretera Tepic Puerto Vallarta,S/N,,,Col.  ,,Compostela, Nayarit,Nayarit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    140   LA TEJA,Calle,La Teja ,50,,,Col. Pueblo Nuevo Bajo ,10640,México , D.F. ,D.F.,,,19.3047462,-99.2477874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      11 NVA. ITALIA,Calle,Lázaro Cárdenas,S/N,,,Col. Centro ,61720,Nva Italia,Michoacán,Michoacán,,,22.8841788,-109.9137774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      10 CHINAMECA,Calle,Lázaro Cárdenas,S/N,,,Plaza Principal,,,,Morelos,,,20.2974305,-101.962759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  39 TLAQUEPAQUE,Calle,Lázaro Cárdenas ,S/N,,,"Col. Glorieta del ""Álamo"" ",45500,Tlaquepaque, Jalisco,Jalisco,,,20.6259997,-103.3039903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  15   CD. PEMEX,Calle,Lázaro Cárdenas ,119,,,Col. Centro ,86720,Ciudad Pemex , Tabasco,Tabasco,,,17.7607017,-92.5936096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     45 CARDENAS,Calle,Leandro Adriano,201,,,,86500,Cárdenas , Tabasco,Tabasco,,,17.9911419,-93.3789807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  11 AMATITAN,Calle,Lerdo ,57,,,Col. Centro ,45380,Amatitan, Jalisco,Jalisco,,,20.8334685,-103.7311143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH  21 C.CAMARGO,Calle,Lerdo de Tejada,206,,,Col Centro,,,,Chihuahua,,,19.2372887,-103.7222276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  59 TLAJOMULCO,Calle,Lerdo de Tejada,S/N,,,Col. Centro ,45640,Tlajomulco de Zúñiga, Jalisco,Jalisco,,,20.4741986,-103.4480148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    78 NUEVO LAREDO,Calle,Lerdo Tejada,S/N,,,Col. Guerrero ,88240,Nuevo Laredo, Tamaulipas,Tamaulipas,,,27.4929056,-99.5043661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       6 RIO GRANDE,Calle,Lerma ,23 y Zarag,,,Col.  ,98400,Río Grande, Zacatecas, Zacatecas,,,23.8308808,-103.0358674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      63 HERMOSILLO,Calle,Ley federal del trabajo ,S/N,,,Col. Ley no. 57 ,83170,Hermosillo, Sonora,Sonora,,,29.1188949,-110.977323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   41 GOMEZ FARIAS,Calle,Libertad,S/N,,,Col Centro,,,,Chihuahua,,,18.9129103,-103.8825361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      15 ETCHOJOA,Calle,Libertad,S/N,,,Col.  ,85280,Etchojoa, Sonora,Sonora,,,26.9022221,-109.6214949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  24 MANUEL DOBLADO,Calle,Libramiento a Cuerámaro,S/N,,,,36470,Ciudad Manuel Doblado, Guanajuato,Guanajuato,,,20.7302778,-101.9533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       229 TENANCINGO,Calle,Libramiento Jorge Jiménez Cantú,S/N,,,Col. FOVISSSTE ,50450,Atlacomulco, Edo. de Méx. Poniente, Edo. México Poniente,,,19.3976544,-99.0384522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      82 ZAMORA,Calle,Libramiento nte. Romero de torres Zamora,S/N,,,Romero de Torres,,Zamora,Michoacán,Michoacán,,,41.507326,-5.745313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     60 COATZACOALCOS,Calle,Lilas,S/N,,,Col. Rancho Alegre ,96558,Coatzacoalcos Sur, Veracruz Sur, Veracruz Sur,,,18.1335992,-94.4681112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      29 BARIO SOLEDAD,Calle,"Llano Predio el Bilito,",S/N,,,Col.  ,70390,Lagunas, Oaxaca,Oaxaca,,,16.8013227,-95.1115341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  87 TEOCALTICHE,Calle,Loma Bonita ,12,,,Col. Centro ,47200,Teocaltiche, Jalisco,Jalisco,,,21.4458218,-102.5699747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    47 SAN LUIS POTOSI,Calle,López Hermosa ,S/N,,,Col. Ferrocarrilera ,78310,San Luis Potosí, San Luis Potosí,San Luis Potosí,,,22.1535359,-100.9655728,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      45 MISANTLA,Calle,López Mateos,S/N,,,,93820,Misantla Norte, Veracruz Norte, Veracruz Norte,,,19.9212615,-96.8592196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  77 ZACOALCO,Calle,López Mateos ,20,,,Col. Centro ,45750,Zacoalco de Torres, Jalisco,Jalisco,,,20.2220823,-103.5752517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      29 AQUISMON,Calle,López Mateos ,S/N,,,Col.  ,79810,Aquismón, San Luis Potosí,San Luis Potosí,,,21.6649219,-98.8854861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      23 CD. GUSTAVO D,Calle,López Mateos Calle 5a. ,202,,,Col. Zona Centro ,88400,Gustavo Díaz Ordaz, Tamaulipas,Tamaulipas,,,26.2245016,-98.593741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      37 RINCONADA,Calle,Los Carriles ,S/N,,,,91663,Rinconada, Veracruz Norte, Veracruz Norte,,,19.4022497,-96.3691476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     66 NANCHITAL,Calle,Lote 1 Manzana 16 ,S/N,,,Col.  ,93770,Nanchital Sur, Veracruz Sur, Veracruz Sur,,,18.5065825,-69.8466647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  97 MAGDALENA,Calle,M. Ávila Camacho ,234,,,Col. Centro ,46470,Magdalena, Jalisco,Jalisco,,,20.910298,-103.9700805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  22 ABASOLO,Calle,Ma. Berber,S/N,,,Col. Lomas de Santa María ,36970,Abasolo, Guanajuato,Guanajuato,,,20.45,-101.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      30  SAN JOSE DE  BACUM,Calle,Madero,S/N,,,Col.  ,85271,Bacum, Sonora,Sonora,,,22.0005648,-99.0127953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  51 GUADALAJARA,Calle,Magisterio ,1425,,,Col. Sector Hidalgo ,44260,Guadalajara, Jalisco,Jalisco,,,20.6952243,-103.3504636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      18 SANTA CRUZ,Calle,Manuel Ávila Camacho,S/N,,,,90640,Santa Cruz,Tlaxcala,Tlaxcala,,,19.3539314,-98.1514914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      34 ATLIXCO,Calle,Manuel Ávila Camacho ,1102,,,,74200,Atlixco, Puebla,Puebla,,,18.8898545,-98.4429388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  48 CD.JUAREZ,Calle,Manuel J. Cloutier,8625,,,Col. Infonavit Angel Trías,,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH     10 BENJAMIN HILL,Calle,Manzana 62 A 3ra. Calle,S/N,,,Col.  ,83900,Benjamin Hill, Sonora,Sonora,,,30.1664901,-111.109796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  4 AVALOS,Calle,Manzanas 1,S/N,,,Col Avalos,,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  81 GRULLO,Calle,Marcelino Hernández ,700,,,Col. Centro ,48740,El Grullo, Jalisco,Jalisco,,,19.8102874,-104.2281565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    70 SOTO LA MARINA,Calle,Mariano Matamoros,S/N,,,Col.  ,87670,Soto la Marina, Tamaulipas,Tamaulipas,,,23.772618,-98.2113871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  35 PEDRICEÑA,Calle,Matamoros,S/N,,,,35812,Cuencamé, Durango,Durango,,,25.8690294,-97.5027376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      19 SANTA MARIA DEL RIO,Calle,Matamoros,S/N,,,Col.  ,78180,Santa María del Río, San Luis Potosí,San Luis Potosí,,,22.1721302,-100.9916122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      32 ALVARADO,Calle,Matamoros,S/N,,,,95250,Alvarado Norte, Veracruz Norte, Veracruz Norte,,,18.77405,-95.760017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       41 DR. GONZALEZ,Calle,Matamoros ,109,,,Col.  ,66750,Dr. González, Nuevo León,Nuevo León,,,25.8588845,-99.9425681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      34 CUAUHTEMOC,Calle,Maximiliano R. López,S/N,,,Col.  ,85195,Cajeme, Sonora,Sonora,,,27.5158604,-109.9184251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      74 TACAMBARO,Calle,Melchor Ocampo,233,,,Col. Centro,,Tacambaro,Michoacán,Michoacán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   5 TULA DE HIDALGO,Calle,Melchor Ocampo ,106,,,Col. Centro ,42800,Tula de Allende, Hidalgo,Hidalgo,,,20.0544924,-99.3394581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF  2 SAN LUIS POTOSI,Calle,Melchor Ocampo ,S/N,,,Col. Moderna ,78250,San Luis Potosí, San Luis Potosí,San Luis Potosí,,,22.1721302,-100.9916122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  10 P. ADOLFO LOPEZ MATEOS,Calle,Miguel Alemán,S/N,,,Col. Centro  ,23710,Comondú, Baja California Sur,Baja California Sur,,,26.0707889,-111.8442001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    48 CARLOS CARRILLO,Calle,Miguel Alemán,S/N,,,Col.  ,95410,Cosamaloapan Sur, Veracruz Sur, Veracruz Sur,,,17.5482514,-99.4991292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  56 CD. JUAREZ,Calle,Miguel Hidalgo,3904,,,Col Durango,,,,Chihuahua,,,25.5590228,-103.4851407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       3 QUIROGA,Calle,Miguel Hidalgo,384,,,Col. Centro,58420,Quiroga,Michoacán,Michoacán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH     11 RASCON,Calle,Miguel Hidalgo ,S/N,,,Col.  ,79241,Ciudad Valles, San Luis Potosí,San Luis Potosí,,,21.8796586,-99.5038197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      67 JALAPA,Calle,Mísperos,S/N,,,"Col. Unidad  Ferrocarrilera,   ",91161,Xalapa Norte, Veracruz Norte, Veracruz Norte,,,19.5525055,-99.0838637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  73 MARTIN HIDALGO,Calle,Moctezuma ,20,,,Col. Centro ,46770,San Martín Hidalgo, Jalisco,Jalisco,,,20.4330662,-103.9311409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   9 RIO VERDE,Calle,Mollinedo ,26,,,Col.  ,79600,Río Verde, San Luis Potosí,San Luis Potosí,,,21.7743012,-99.9131105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  2 NOMBRE DE DIOS,Calle,Montes de Oca,S/N,,,,,,,Chihuahua,,,22.7554761,-102.5143064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMRM 52 OCAMPO,Calle,Morelos,S/N,,,Col. Zona Centro ,27500,Ocampo, Coahuila,Coahuila,,,27.3156234,-102.3965211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  18 APASEO EL ALTO,Calle,Morelos,S/N,,,Col. Ávila Camacho ,38500,Apaseo el Alto, Guanajuato,Guanajuato,,,20.4571814,-100.6245395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      52 NARANJOS,Calle,Morelos,S/N,,,Col. Petrolera ,92320,Naranjos Norte, Veracruz Norte, Veracruz Norte,,,21.3394122,-97.6867896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 60 PLATON SANCHEZ,Calle,Morelos,S/N,,,,92160,Platón Sánchez Norte, Veracruz Norte, Veracruz Norte,,,21.2306934,-98.4618829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      72 YURECUARO,Calle,Morelos ,14,,,,,Yurecuaro,Michoacán,Michoacán,,,19.7133561,-101.2500351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       4 VILLA HIDALGO,Calle,Morelos ,49,,,Col.  ,63550,Santiago Ixc., Nayarit,Nayarit,,,21.8131863,-105.204327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH       16 ALLENDE,Calle,Morelos ,S/N,,,Col.  ,67350,Allende, Nuevo León,Nuevo León,,,25.2627797,-100.000572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      57 SAN PABLO,Calle,Morelos ,73,,,Col. Centro ,68200,San Pedro y San Pablo Villa Etla, Oaxaca,Oaxaca,,,17.206464,-96.7956153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      61 NAVOJOA,Calle,Morelos ,S/N,,,Col. Tierra Blanca ,85800,Navojoa, Sonora,Sonora,,,27.0828929,-109.4428245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    39 CHACALTIANGUIS,Calle,Morelos ,1,,,Col.  ,95560,Chacaltianguis Sur, Veracruz Sur, Veracruz Sur,,,18.3057392,-95.8411321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   41 S.JUAN LAGOS,Calle,Moreno Valle ,160,,,Col. Centro ,47000,San Juan de los Lagos, Jalisco,Jalisco,,,21.251104,-102.3282099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  100 JAMAY,Calle,Negrete ,129,,,Col. Centro ,47901,Jamay, Jalisco,Jalisco,,,-34.5913736,-70.9973857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  5 ASIENTOS,Calle,Nicolás Bravo,1,,,Col. Infonavit,20715,Asientos, Aguascalientes,Aguascalientes,,,22.2384759,-102.0890156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  26 MIXQUIAHUALA,Calle,Nicolás Bravo,S/N,,,Col. Los  Tigres,72950,Mixquiahuala de Juárez, Hidalgo,Hidalgo,,,26.0885236,-98.2851086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      10 JALAPA,Calle,Nicolás Bravo,S/N,,,Col. Centro,91000,Xalapa Norte, Veracruz Norte, Veracruz Norte,,,19.5595112,-96.9284026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  39 CFE XOLA,Calle,Nicolás San Juan,453,,,Col. Del Valle ,3100,México , D.F. ,D.F.,,,19.3942628,-99.1611758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH    6 CORTAZAR,Calle,Niño Artillero ,300,,,Col. Centro ,38300,Cortazar, Guanajuato,Guanajuato,,,20.4867374,-100.9659254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      38  LA GLORIA,Calle,Niños Héroes,S/N,,,,91663,La Gloria, Veracruz Norte, Veracruz Norte,,,18.0039354,-94.5535507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
